word	file	lines
BibTex	getting_started.md	335
bookdown	getting_started.md	3,33,350,363,439,488,534,574,673
DaSL	getting_started.md	467,470,500
Dockerfile	getting_started.md	28,29,271,275,281,309,320,327,365
Dockerhub	getting_started.md	24,138,146,269,273,320
DockerHub	getting_started.md	212,215,229
DocToc	getting_started.md	16
doi	getting_started.md	335
DOI	getting_started.md	335
Endnote	getting_started.md	339
Github	getting_started.md	10,23,32,39,61,107,119,121,123,125,125,127,129,140,152,156,180,356,358,367,376,385,389,412,417,434,442
gitignore	getting_started.md	452
GoogleSlides	getting_started.md	536,576,673
hight	getting_started.md	599
imposter	getting_started.md	461
jhuDaSL	getting_started.md	472,479
preconfigured	getting_started.md	212
provded	getting_started.md	630
PRs	getting_started.md	113,115
pwd	getting_started.md	223,229
repo	getting_started.md	59,229,468,473,480
repos	getting_started.md	393
RMarkdown	getting_started.md	12
Rmd	getting_started.md	77,488,592,615
Rmds	getting_started.md	331,412,417,446
StackOverflow	getting_started.md	260
styler	getting_started.md	40,444
TSV	getting_started.md	422
uncomment	getting_started.md	268,373,382
Uncomment	getting_started.md	400
UseR	getting_started.md	10
yml	getting_started.md	33,363
youtube	getting_started.md	615,623,624,630
Zotero	getting_started.md	339
